Candidato,VideoID,Comentario,FechaHora												
César Acuña,NUx-8dHN0M8,Cesar Acuña el MEMERO MÁS GRANDE DEL MUNDO,2025-05-16T01:00:18Z												
"César Acuña,NUx-8dHN0M8,""Pilzen cuzqueña negra"												
????????????												
"Ya salieron al mercado"",2025-05-12T20:33:48Z"												
César Acuña,NUx-8dHN0M8,Jaja Jaja Jaja,2025-05-12T15:44:05Z												
César Acuña,NUx-8dHN0M8,Acuña eres un meme,2025-05-08T20:42:11Z												
César Acuña,NUx-8dHN0M8,Jajajajajaj Acuña es una m!@#$a hablando . ESTE TIO SI ES UNA  RAZA DISTINTA . ??????,2025-05-04T02:31:34Z												
César Acuña,NUx-8dHN0M8,DE LA UCV,2025-04-30T01:44:47Z												
César Acuña,NUx-8dHN0M8,Ese no tiene la culpa del cargo que ocupa SON LOS MEDIOCRES QUE VOTARON POR ESE.,2025-04-08T11:17:42Z												
César Acuña,NUx-8dHN0M8,Celebres para los IDIOTAS .,2025-04-02T10:11:32Z												
César Acuña,NUx-8dHN0M8,Este youtubers es un CSM ??????????????????,2025-03-31T15:25:53Z												
"César Acuña,NUx-8dHN0M8,""Don César: ud se queja de las cantidades de memes que recibe a cada rato.Es que es una barbaridad "												
lo que ud. dice, por ejemplo: la pilsen cuzqueña negra, no existe a no ser que												
tú mismo las mezcles entre ellas. Hawaii?...emprede al emprendador?												
"Ya pe César, no hables huevadas y ponte a estudiar, pero no creo que pases el exámen de admisión ni en la  Universidad Cesar Vallejo..."",2025-03-21T08:40:27Z"												
César Acuña,NUx-8dHN0M8,Igual que Castillo con el pollo y son paisanos de Cajamarca una vergüenza,2025-03-20T13:07:54Z												
César Acuña,NUx-8dHN0M8,Jajaja acuña presidente,2025-02-24T02:49:13Z												
César Acuña,NUx-8dHN0M8,????????????,2025-02-23T02:29:09Z												
César Acuña,NUx-8dHN0M8,Burro,2025-02-18T02:38:34Z												
César Acuña,NUx-8dHN0M8,Este señor como hizo dinero si es una bestia,2025-01-12T10:18:07Z												
"César Acuña,NUx-8dHN0M8,""Esos señores son nuestros politicos, tmr.."",2025-01-04T14:00:00Z"												
César Acuña,NUx-8dHN0M8,Vamos acuña dios t bendiga,2024-12-26T01:33:40Z												
César Acuña,NUx-8dHN0M8,??????????????,2024-09-16T18:20:40Z												
César Acuña,NUx-8dHN0M8,??????????????????????????????????????????????????????????????????????,2024-09-02T01:18:28Z												
"César Acuña,NUx-8dHN0M8,""Perú tiene talento, no me canso de reír, que bestia es ese hombre."",2024-08-30T00:27:36Z"												
César Acuña,NUx-8dHN0M8,A los trujillanos debe darles vergüenza que haya sido elegido gobernador de su región ??,2024-08-20T18:27:47Z												
César Acuña,NUx-8dHN0M8,Y este quiere ser presidente.  Tan cagados estamos,2024-08-20T02:04:50Z												
César Acuña,NUx-8dHN0M8,??,2024-08-09T03:43:08Z												
César Acuña,NUx-8dHN0M8,Que bruto póngale cero????,2024-08-04T06:45:45Z												
César Acuña,NUx-8dHN0M8,Buen meme....,2024-08-04T05:03:45Z												
César Acuña,NUx-8dHN0M8,????????La ridiculez en su esplendor,2024-08-04T01:40:42Z												
"César Acuña,NUx-8dHN0M8,""Este cholito no es de este mundo, es un HERMANO MAYOR, un ETERNO !"",2024-08-03T16:53:19Z"												
César Acuña,NUx-8dHN0M8,Acuña es primo hermano de castillooo los dos un par de bestias??????,2024-07-27T18:46:07Z												
César Acuña,NUx-8dHN0M8,Camas susy??????????,2024-07-21T18:55:43Z												
César Acuña,9vrp9uVxxhk,Un genio del humor...  Carlos Alvarez ??????????,2025-05-07T04:38:41Z												
César Acuña,9vrp9uVxxhk,Plata como cancha,2025-03-03T08:48:45Z												
"César Acuña,9vrp9uVxxhk,""Carlos alvarwz no imita bien a acuña"												
" Acuña habla lento y oración por oración y Carlos alvarez habla de corrido sin pausas"",2025-02-20T02:14:45Z"												
César Acuña,9vrp9uVxxhk,No es plagio es copia ??,2025-01-01T03:45:48Z												
César Acuña,9vrp9uVxxhk,ptmre tiene la misma voz ??????,2024-10-25T22:41:09Z												
César Acuña,9vrp9uVxxhk,el verdadero supera a carlos... increible ese umpa lumpa no habla bien,2024-10-16T02:24:37Z												
"César Acuña,9vrp9uVxxhk,""Acuña, es el Donald Trump andino... solo por la cara y por sus bienes jeje."",2024-09-13T18:54:20Z"												
César Acuña,9vrp9uVxxhk,Acuña es el único personaje principal que da más risa que el imitador xD,2024-08-28T04:19:08Z												
César Acuña,9vrp9uVxxhk,Que TANTA IMPORTANCIA LE  DAN A ESTE HOMBRECILLO DE LIMITADISIMAS CAPACIDAD COGNITIVAS,2024-07-07T06:20:01Z												
César Acuña,9vrp9uVxxhk,Plata como cancha eres otro más de la mafia…,2024-04-12T19:57:59Z												
César Acuña,9vrp9uVxxhk,ACUÑA MAFIOSO,2024-04-04T12:45:09Z												
César Acuña,9vrp9uVxxhk,Ese Acuna es bien enano,2024-03-08T13:58:07Z												
César Acuña,9vrp9uVxxhk,BUenisimo Carlos Alvarez!,2024-02-16T00:53:50Z												
"César Acuña,9vrp9uVxxhk,""Álvarez jamas me savo una sonrisa,  jamas, el, cree que hablar lisuras, golpear es gracioso.."",2024-01-28T16:21:29Z"												
César Acuña,9vrp9uVxxhk,Jajajaja Ingeniero Cómico jajajaja,2024-01-25T19:38:12Z												
César Acuña,9vrp9uVxxhk,Titulo y doctorado plagiado con notas fantasma de delincuentes narcos ???? de lavados ??,2024-01-14T03:57:03Z												
César Acuña,9vrp9uVxxhk,Prenda ramera delincuentes por su culpa de ustedes existe la corrupcion y crisis económica en el Perú ????,2024-01-14T03:55:25Z												
César Acuña,9vrp9uVxxhk,Me da risa cuando diji...voy a china a buscar en todos los laboratorios para traerlo más pronto posible ala pamdemia ??????????,2023-12-17T18:04:00Z												
César Acuña,9vrp9uVxxhk,acuña da mas risa que alvarez,2023-12-09T18:20:06Z												
César Acuña,9vrp9uVxxhk,Jaja nada mejor para    eres un mate de risa Carlos Álvarez jaja en todas te haces unos buenos chistes,2023-05-01T00:07:27Z												
César Acuña,9vrp9uVxxhk,Con este Comediante de Presidente lo pasaremos  BOMBA.????,2022-08-06T10:55:16Z												
César Acuña,9vrp9uVxxhk,4:57 esa wada es cierta xD lo dice el libro Plata como Cancha xD,2022-04-27T07:44:11Z												
César Acuña,9vrp9uVxxhk,YO CONOCÍ A CARLOS ALVAREZ CUANDO JOVEN ERA BAJITO Y SUPONGO Q AHORA CON LA EDAD SE HABRÁ REDUCIDO MÁS o sea q ACUÑA ES UN ENANO  pero gde para falsificar y copiar documentos.,2021-06-03T09:28:59Z												
César Acuña,9vrp9uVxxhk,*HAJAJAJAJAJAJAAJAJ!!!!!??*,2021-04-09T06:12:13Z												
César Acuña,9vrp9uVxxhk,Vean el de las camas zusy,2021-04-04T18:43:28Z												
César Acuña,9vrp9uVxxhk,Jaja aca si puede hablar entendible,2021-03-17T15:17:24Z												
César Acuña,9vrp9uVxxhk,Para mi que después de ese día Acuña le compro el cerebro a Carlos Alvarez porque ahorita esta hablando webadas,2021-03-17T14:51:46Z												
"César Acuña,9vrp9uVxxhk,""cesar es un hombre humilde, caso contrario me lo saco la cdm a este payaso...."",2021-03-17T01:32:17Z"												
César Acuña,9vrp9uVxxhk,Quien está viendo este video en el 2021,2021-03-16T22:31:08Z												
